Codigo Cliente;Codigo Produto;Codigo Consultor;DataFaturamento;NumeroNota;ModeloNota;SerieNota;QtdeFaturada;ValorFaturado;NatOperacao;Descricao Filial;CNPJ FORNECEDOR;CNPJ ROGE;OrigemPedido
899732;387344;92941;20201112;1939035;55;7;3;40,230000;Venda;Interg;22137853000102;10829506000161;Venda Externa
899732;396849;92941;20201112;1939035;55;7;2;26,820000;Venda;Interg;22137853000102;10829506000161;Venda Externa
809779;351386;62224;20201112;1939032;55;7;2;32,400000;Venda;Interg;22137853000102;10829506000161;Ecommmerce
877748;396953;978980;20201112;1939031;55;7;6;79,740000;Venda;Interg;22137853000102;10829506000161;Venda Externa
1589351;427706;50155;20201112;1939025;55;7;2;10,520000;Venda;Interg;22137853000102;10829506000161;Ecommerce
1589351;427718;50155;20201112;1939025;55;7;3;15,780000;Venda;Interg;22137853000102;10829506000161;Ecommerce
1589351;427720;50155;20201112;1939025;55;7;3;15,780000;Venda;Interg;22137853000102;10829506000161;Ecommerce
943850;351398;5708;20201112;1939021;55;7;1;16,200000;Venda;Interg;22137853000102;10829506000161;Venda Externa
1025521;406788;98905;20201112;1939012;55;7;3;14,910000;Venda;Interg;22137853000102;10829506000161;Ecommmerce
1025521;406790;98905;20201112;1939012;55;7;3;14,910000;Venda;Interg;22137853000102;10829506000161;Ecommmerce
1025521;422540;98905;20201112;1939012;55;7;3;14,910000;Venda;Interg;22137853000102;10829506000161;Ecommmerce
1025521;433093;98905;20201112;1939012;55;7;3;19,890000;Venda;Interg;22137853000102;10829506000161;Ecommmerce
1025521;79984;98905;20201112;1939012;55;7;3;14,910000;Venda;Interg;22137853000102;10829506000161;Ecommmerce
1025521;385943;98905;20201112;1939012;55;7;2;25,560000;Venda;Interg;22137853000102;10829506000161;Ecommmerce
1025521;385955;98905;20201112;1939012;55;7;2;28,400000;Venda;Interg;22137853000102;10829506000161;Ecommmerce
1025521;385967;98905;20201112;1939012;55;7;2;28,400000;Venda;Interg;22137853000102;10829506000161;Ecommmerce
1025521;385981;98905;20201112;1939012;55;7;2;25,560000;Venda;Interg;22137853000102;10829506000161;Ecommmerce
1025521;386571;98905;20201112;1939012;55;7;2;25,560000;Venda;Interg;22137853000102;10829506000161;Ecommmerce
1025521;389729;98905;20201112;1939012;55;7;2;25,560000;Venda;Interg;22137853000102;10829506000161;Ecommmerce
1025521;396849;98905;20201112;1939012;55;7;3;38,340000;Venda;Interg;22137853000102;10829506000161;Ecommmerce
1025521;396862;98905;20201112;1939012;55;7;2;25,560000;Venda;Interg;22137853000102;10829506000161;Ecommmerce
1025521;406261;98905;20201112;1939012;55;7;3;14,910000;Venda;Interg;22137853000102;10829506000161;Ecommmerce
1025521;406776;98905;20201112;1939012;55;7;3;14,910000;Venda;Interg;22137853000102;10829506000161;Ecommmerce
1025521;351283;98905;20201112;1939012;55;7;3;48,690000;Venda;Interg;22137853000102;10829506000161;Ecommmerce
1025521;351351;98905;20201112;1939012;55;7;2;32,460000;Venda;Interg;22137853000102;10829506000161;Ecommmerce
1025521;351374;98905;20201112;1939012;55;7;2;32,460000;Venda;Interg;22137853000102;10829506000161;Ecommmerce
1025521;116970;98905;20201112;1939012;55;7;3;14,910000;Venda;Interg;22137853000102;10829506000161;Ecommmerce
1025521;116981;98905;20201112;1939012;55;7;3;14,910000;Venda;Interg;22137853000102;10829506000161;Ecommmerce
1025521;185413;98905;20201112;1939012;55;7;3;14,910000;Venda;Interg;22137853000102;10829506000161;Ecommmerce
1025521;221946;98905;20201112;1939012;55;7;3;14,910000;Venda;Interg;22137853000102;10829506000161;Ecommmerce
742132;396904;68111;20201112;1939009;55;7;3;40,230000;Venda;Interg;22137853000102;10829506000161;Venda Externa
742132;386560;68111;20201112;1939009;55;7;3;40,230000;Venda;Interg;22137853000102;10829506000161;Venda Externa
742132;389729;68111;20201112;1939009;55;7;3;40,230000;Venda;Interg;22137853000102;10829506000161;Venda Externa
742132;396862;68111;20201112;1939009;55;7;3;40,230000;Venda;Interg;22137853000102;10829506000161;Venda Externa
872234;391890;928471;20201112;1939008;55;7;6;17,040000;Venda;Interg;22137853000102;10829506000161;Ecommmerce
872234;375998;928471;20201112;1939008;55;7;6;19,140000;Venda;Interg;22137853000102;10829506000161;Ecommmerce
872234;376103;928471;20201112;1939008;55;7;6;17,040000;Venda;Interg;22137853000102;10829506000161;Ecommmerce
594416;425266;62224;20201112;1939004;55;7;3;31,770000;Venda;Interg;22137853000102;10829506000161;Ecommmerce
669933;374143;50659;20201112;1938811;55;7;6;17,040000;Venda;Interg;22137853000102;10829506000161;Ecommmerce
669933;374179;50659;20201112;1938811;55;7;6;19,140000;Venda;Interg;22137853000102;10829506000161;Ecommmerce
669933;374374;50659;20201112;1938811;55;7;6;17,040000;Venda;Interg;22137853000102;10829506000161;Ecommmerce
669933;374672;50659;20201112;1938811;55;7;6;17,040000;Venda;Interg;22137853000102;10829506000161;Ecommmerce
669933;391864;50659;20201112;1938811;55;7;6;17,040000;Venda;Interg;22137853000102;10829506000161;Ecommmerce
669933;419199;50659;20201112;1938811;55;7;6;17,040000;Venda;Interg;22137853000102;10829506000161;Ecommmerce
669933;419231;50659;20201112;1938811;55;7;6;17,040000;Venda;Interg;22137853000102;10829506000161;Ecommmerce
669933;427688;50659;20201112;1938811;55;7;6;23,160000;Venda;Interg;22137853000102;10829506000161;Ecommmerce
669933;435983;50659;20201112;1938811;55;7;6;22,740000;Venda;Interg;22137853000102;10829506000161;Ecommmerce
989204;373965;69220;20201112;1938810;55;7;6;17,040000;Venda;Interg;22137853000102;10829506000161;Ecommmerce
989204;374568;69220;20201112;1938810;55;7;6;17,040000;Venda;Interg;22137853000102;10829506000161;Ecommmerce
989204;410202;69220;20201112;1938810;55;7;6;17,040000;Venda;Interg;22137853000102;10829506000161;Ecommmerce
669933;373795;50659;20201112;1938811;55;7;6;17,040000;Venda;Interg;22137853000102;10829506000161;Ecommmerce
